close,﻿"닫기"
"Show Packages",﻿"포장 보기"
"About Your Shipment",﻿"귀하의 수하물 배송 상황에 대해"
"The comment text field cannot be empty.",﻿"주석 텍스트 필드는 비워 둘 수 없습니다."
"Please specify a carrier.",﻿"배송 업체를 지정 하십시오."
"Please enter a tracking number.",﻿"추적 번호를 입력 하십시오."
"Cannot initialize shipment for adding tracking number.",﻿"추적 번호 등록에 배송 전표를 초기화 하지 못했습니다."
"Cannot add tracking number.",﻿"수하물 추적 번호를 추가할 수 없습니다."
"You created the shipping label.",﻿"배송 라벨을 만들었습니다"
"An error occurred while creating shipping label.",﻿"배송 라벨을 만드는 동안 오류가 발생 했습니다."
"You sent the shipment.",﻿"물건 발송 했습니다"
"There are no shipping labels related to selected orders.",﻿"선택한 주문에 견 장을 갖춘 배송 레이블이 없습니다."
"There are no shipping labels related to selected shipments.",﻿"선택한 배송 전표를 견 장을 갖춘 배송 레이블이 없습니다."
"New Shipment",﻿"새로운 배송"
"We don't recognize or support the file extension in this shipment: %1.",﻿"이 파견 파일 확장명을 인식할 수 없거나 지원 하지 않습니다. %1."
"Cannot initialize shipment for delete tracking number.",﻿"추적 번호 삭제를 위해 배송 전표를 초기화 하지 못했습니다."
"Cannot delete tracking number.",﻿"수하물 추적 번호를 삭제할 수 없습니다."
"Cannot load track with retrieving identifier.",﻿"받은 식별자로 데이터를 로드할 수 없습니다."
"The shipment has been created.",﻿"배송 전표를 만들었습니다."
"Cannot save shipment.",﻿"납품 문서를 저장할 수 없습니다."
"Cannot do shipment for the order separately from invoice.",﻿"청구서 로부터 분리 배송 전표를 만들 수 없습니다."
"Cannot do shipment for the order.",﻿"배송 전표를 만들 수 없습니다."
"Tracking Information",﻿"화물 추적 정보"
"Sorry, but we can't deliver to the destination country with this shipping module.","죄송합니다. 이 배송모듈은 대상 국가에 배송할수 없습니다."
"The shipping module is not available.",﻿"배송 모듈을 사용할 수 없습니다."
"This shipping method is not available. Please specify the zip code.",﻿"이 배송 방법은 사용할 수 없습니다. 우편번호를 입력 하십시오"
Development,﻿"개발"
Live,﻿"Live"
"Divide to equal weight (one request)",﻿"같은 무게에서 사단 (1)"
"Use origin weight (few requests)","원래 무게를 사용 (2,3의 요청)"
Packages,﻿"패키지"
Package,﻿"소포"
"Signature Confirmation",﻿"서명 확인"
"Customs Value",﻿"사용자 지정 값"
Contents,﻿"콘텐츠"
"Items in the Package",﻿"포장 내의 상품"
"Qty Ordered",﻿"주문 횟수"
"No detail for number ""%1""",﻿"""%1"" 수에 대한 상세 정보  없음"
"Shipping labels is not available.",﻿"발송 라벨을 사용할 수 없습니다."
"Response info is not exist.",﻿"응답 정보가 존재 하지 않습니다."
"Invalid carrier: %1",﻿"잘못 된 배송 업체: %1"
"We don't have enough information to create shipping labels. Please make sure your store information and settings are complete.",﻿"발송 라벨 만들기에는 정보가 부족 합니다. 상점 정보를 확인 하 여 설정을 완료 하십시오"
"Per Package",﻿"각 패키지"
"Tracking information is unavailable.",﻿"추적 정보는 올바르지 않습니다."
"Items to Ship",﻿"배송 하는 상품"
"Qty to Ship",﻿"배송 수량"
"Shipment Total",﻿"배송 총"
"Shipment Options",﻿"배송 옵션"
"Create Shipping Label",﻿"배송 레이블 만들기"
"Email Copy of Shipment",﻿"배송 문의 메일 보내기"
"Invalid value(s) for Qty to Ship",﻿"잘못 된 출하 수량입니다"
Carrier,﻿"배송 업체"
"Add Package",﻿"패키지 추가"
"Create Packages",﻿"패키지 만들기"
"USPS domestic shipments don't use package types.",﻿"USPS는 국내 배송 패키지 타입을 사용 하지 않습니다"
in,﻿"인치"
lb,﻿"파운드"
kg,﻿"kg"
"Delete Package",﻿"패키지 삭제"
Explanation,﻿"형식"
"Add Selected Product(s) to Package",﻿"선택한 상품의 포장에 추가"
"Please select products.",﻿"상품을 선택 하세요"
"Shipping &amp; Handling Information",﻿"배송료 및 수수료 정보"
"Track Order",﻿"주문 추적"
"Shipping and Tracking Information",﻿"배송 및 추적 정보"
"Track this shipment",﻿"이 수하물 추적"
"Items Shipped",﻿"배송 받은 상품"
"Shipment History",﻿"배송 내역"
"Print All Shipments",﻿"모든 배송 인쇄"
"Shipment #",﻿"배송 번호"
"Print Shipment",﻿"주소 인쇄"
"Tracking Number(s):",﻿"추적 번호:"
"Order tracking",﻿"주문 추적"
"Tracking Number:",﻿"추적 번호:"
Carrier:,﻿"배송 업체:"
Error:,﻿"오류:"
"Tracking information is currently not available. Please ",﻿"추적 정보를 현재 사용할 수 없습니다."
"contact us",﻿"문의"
" for more information or ",﻿" 하시 거 나 오른쪽의 주소 "
"email us at ",﻿"이메일을 보내주십시오"
Info:,﻿"정보:"
Track:,﻿"추적:"
Status:,﻿"상태:"
"Delivered on:",﻿"납품을 통해:"
"Signed by:",﻿"사인:"
"Delivered to:",﻿"납품 처:"
"Shipped or billed on:",﻿"배송 이나 결제를 통해:"
"Service Type:",﻿"서비스 종류:"
Weight:,﻿"무게: "
"Track history",﻿"추적 기록"
Location,﻿"위치"
"Local Time",﻿"현지 시간"
"There is no tracking available for this shipment.",﻿"이 배송에서 추적할 수 없습니다."
"There is no tracking available.",﻿"수하물 추적을 사용할 수 없습니다."
"Shipping Settings",﻿"배송 설정"
Origin,﻿"운송 업체"
"Please correct the target currency.",﻿"대상 통화를 수정 해 주세요"
"Undefined rate from ""%1-%2"".",﻿" ""%1-%2"" 알 수 없는 속도 "
"We can't retrieve a rate from %1.",﻿"%1에서 속도를 검색할 수 없습니다."
"FATAL ERROR:",﻿"치명적인 오류:"
"Please specify the correct Import Service.",﻿"올바른 가져오기 서비스를 지정 하십시오."
WARNING:,﻿"경고:"
"Please correct the country code: %1.",﻿"국가 코드를 수정 하십시오: %1."
"Country and Format Type combination should be unique",﻿"국가와 포맷 타입의 조합은 고유 해야 합니다"
"Please correct the rates received",﻿"접수를 수정 해 주세요"
Currency,﻿"통화"
"Your current currency is: %1.",﻿"현재 통화: %1."
"Currency Setup",﻿"통화 설정"
"Currency Options",﻿"통화 옵션"
"Base Currency",﻿"기본 통화"
"
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                       기본 통화는 모든 온라인 거래에서 사용됩니다. 만약 하나 이상의 스토어 뷰를 가지고 있으면 기본 통화 범위는 카탈로그 가격 범위에서 정의되어 있습니다(""Catalog"" > ""Price"" > ""Catalog Price Scope"")
                    "
"Default Display Currency",﻿"기본 통화"
"Allowed Currencies",﻿"허용 되는 통화"
Webservicex,﻿"WebserviceX"
"Connection Timeout in Seconds",﻿"타임 아웃으로 간주 하는 시간"
"Scheduled Import Settings",﻿"가져오기 일정 설정"
Service,﻿"서비스"
"Installed Currencies",﻿"설치 된 통화"
"Zip/Postal Code is Optional for",﻿"우편 번호는 선택 사항입니다"
"State Options",﻿"상태 옵션"
"State is Required for",﻿"상태는 필수입니다"
"Allow to Choose State if It is Optional for Country",﻿"만약 국가 옵션 이라면 국가를 선택 하십시오"
"Store Designer",﻿"스토어 디자이너"
"Element ""%1"" is not found in ""%2"".",﻿" 요소 ""%1""을 ""%2""에서 찾을 수 없습니다. "
"Renderer factory was not set",﻿"렌더러 팩토리는 설정 되어 있지 않습니다."
"Form elements factory was not set",﻿"폼 요소 팩토리는 설정 되어 있지 않습니다."
"Component of the type ""%1"" is not found between elements of ""%2""",﻿" ""%1""의 유형  콤포넌트를 ""%2"" 요소  사이에는 찾을 수 없습니다. "
"Restore last saved version of theme",﻿"마지막으로 저장 된 테마 버전 복원"
"Restore theme defaults",﻿"테마 기본값 복원"
"Do you want to restore the version saved at %1?",﻿" %1에 저장 된 버전을 복원 하 시겠습니까?"
"Restore Theme Version",﻿"테마의 버전을 복원"
"Do you want to restore the theme defaults?",﻿"테마 기본값을 복원 하 시겠습니까?"
"Restore Theme Defaults",﻿"테마 기본값 복원"
Assign,﻿"할당"
"Save & Assign",﻿"저장 및 할당"
"You changed the design of your live store. Are you sure you want to do that?",﻿"프로덕션 상점 디자인을 변경 했습니다. 계속 하 시겠습니까?"
"Are you sure you want to change the theme of your live store?",﻿"정말 라이브 상점의 테마를 변경 하 시겠습니까?"
"Are you sure you want this theme to replace your current theme?",﻿"현재 테마를 이 테마로 바꾸시겠습니까?"
"Do you want to use this theme in your live store?",﻿"프로덕션 상점에서이 테마를 이용 합니까?"
"Quick Styles",﻿"빠른 스타일"
CSS,﻿"CSS"
JS,﻿"JS"
"Image Sizing",﻿"이미지 크기 조정"
"Sorry, but you cannot resize images for this theme.","죄송합니다. 이 주제는 이미지 크기 조정이 가능하지 않습니다."
"Please enter values for height and width.' ' Use the chain icon if you want height and width to match.' ' Be sure to see how it looks in your store.' ' You may need to update your custom CSS file.",﻿"높이 및 너비 값을 입력 하십시오 ' 높이와 너비를 조정의 체인 아이콘을 이용해 라 ' ' 상점에서 어떻게 보이는지 확인 하세요 ' ' 사용자 지정 CSS 파일을 업데이트 해야 할 수도 있습니다."
Update,﻿"업데이트"
"Add white borders to images that are smaller than the container.",﻿"용기 보다는 작은 이미지에 흰색 테두리를 낸다"
"If an image is too big,' '  we automatically make it smaller and add white borders to fill the container.","이미지가 너무 큰 경우 ''자동으로 작아 용기를 채우기 위해 흰 라인을 추가합니다."
"Reset to Original",﻿"원래 재설정"
"These JavaScript files may change the appearance of your live store(s).' ' Are you sure you want to do this?",﻿"이 Javascript 파일은 프로덕션 상점의 표시를 변경할 수 있습니다 ' ' 정말 실행 하 시겠습니까?"
"Are you sure you want to delete this JavaScript file?' ' The changes to your theme will not be reversible.",﻿"정말이 Javascript 파일을 삭제 하 시겠습니까? ' 테마 변경 작업은 취소할 수 없습니다."
"Custom javascript files",﻿"사용자 지정 javascript 파일"
"CSS Editor ",﻿"CSS 편집기"
Backgrounds,﻿"백그라운드"
"Buttons & Icons",﻿" 버튼 및 아이콘"
"Tips & Messages",﻿"팁 및 메시지"
Fonts,﻿"글꼴"
"We found an invalid block of class ""%1"". Please define the required properties.",﻿"클래스""%1"" 잘못 된 블록을 발견 했습니다. 필요한 속성을 정의 하십시오. "
Duplicate,﻿"복제"
"You chose a new theme for your live store. Click ""OK"" to replace your current theme.",﻿"새 상점에 테마가 선정 됐다. 현재 테마를 바꾸면 ""OK""를 클릭 하십시오. "
"You chose a theme for your new store. Click ""OK"" to go live. You can always modify or switch themes in ""My Customizations"" and ""Available Themes.""",﻿"새 상점에 테마가 선정 됐다. 실무에 적용 하려는 경우는 ""OK""를 클릭 하십시오. 테마는 언제 든 지 편집, 변경 ""My Customizations"" Available Themes. 에서 수 있습니다. "
"Assign to a Store View",﻿"상점 뷰 게이트에"
"Assign New Theme",﻿"새 테마를 지정"
"Themes Assigned to Store Views",﻿"뷰의 지정 된 테마"
"Available Themes",﻿"사용 가능한 테마"
"Themes Not Assigned to Store Views",﻿"스토어 뷰에 할당 되지 않은 테마"
"Delete %1 Theme",﻿"%1 테마 제거"
"My Customizations",﻿"자신의 사용자 지정"
"We can't find this theme.",﻿"이 테마를 찾을 수 없습니다."
"We can't load the list of themes.",﻿"테마의 목록을 로드할 수 없습니다."
"You assigned a new theme to your store view.","새로운 테마 스토어 뷰를 할당했습니다 ""You assigned a theme to your live store.","실전 스토어에 테마가 할당되었습니다 ""This theme is not assigned.","이 테마는 할당되지 않습니다 ""Sorry"," but you can't edit theme """"%1"""".""","죄송합니다. 테마""""%1""""편집할 수 없습니다 ""Copy of [%1]""",[%1]의 복사본을 "
"You saved a duplicate copy of this theme in ""My Customizations.""",﻿"""My Customizations""으로의 테마의 복사본을 저장 했습니다. "
"You cannot duplicate this theme.",﻿"이 테마를 복제할 수 없습니다"
"Sorry, but we can't load the theme list.",죄송합니다. 테마 목록을 로드 할 수 없습니다.
"This theme is not saved.",﻿"이 테마는 저장 되지 않습니다"
"Theme ""%1"" is not editable.",﻿"테마 ""%1""는 편집 가능 하지 않다."
"Theme ""%1"" reverted to last saved state",﻿"테마 ""%1""마지막으로 저장 된 상태로 복원 되었습니다."
"Theme ""%1"" reverted to last default state",﻿"테마 ""%1""는 마지막으로 기본값으로 된 상태를 반환 했습니다"
"Invalid revert mode ""%1""",﻿"잘못 된 리버 트 모드 ""%1"" "
"Unknown error",﻿"알 수 없는 오류"
"You updated your live store.",﻿"프로덕션 상점를 업데이 트 했습니다."
"You saved updates to this theme.",﻿"이 주제에 업데이 트를 저장 했습니다."
"Something went wrong uploading the image.' ' Please check the file format and try again (JPEG, GIF, or PNG).","이미지 업로드하는 동안 문제가 발생했습니다 ' '파일 형식을 확인하고 다시 시도하십시오 (JPEG ","GIF ","또는 PNG)"
"The file can't be found or edited.",﻿"파일이 없거나 편집할 수 없는 경우"
"This theme is not assigned to a store view #%1.",﻿"이 테마는 상점 보기 #%1에 할당 되어 있지 않습니다."
"You updated the %1 file.",﻿"%1 파일을 업데이트 했습니다."
"We can't save the custom css file.",﻿"사용자 지정 된 CSS 파일을 저장할 수 없습니다."
"We saved the image sizes.",﻿"이미지 크기를 저장 했습니다."
"We can't save image sizes.",﻿"이미지 크기를 저장할 수 없습니다."
"You updated the custom.css file.",﻿"Custom.css 파일을 업데이트 했습니다."
"Unknown control: ""%1",﻿"알 수 없는 컨트롤: ""%1"
"Unknown control: ""%1""",﻿"알 수 없는 컨트롤: ""%1"""
"Unknown control configuration type: ""%1""",﻿"알 수 없는 컨트롤 유형: ""%1"""
"Sorry, but you cannot edit these theme styles.","죄송하지만 이러한 테마 스타일을 편집 할 수 없습니다."
"No renderer registered for elements of class ""%1""",﻿"클래스 요소 ""%1""에 등록 된 렌더러가 없습니다"
"Cannot upload file.",﻿"파일을 업로드할 수 없습니다."
"We can't find theme ""%1"".",﻿"테마 ""%1""을 찾을 수 없습니다"
"Wrong theme type set as editable",﻿"잘못 된 테마 유형 세트를 편집 가능"
"Theme has not been set",﻿"테마는 설정 되어 있지 않습니다."
"Please wait...",﻿"잠시 기다려 주십시오."
"Upload an Image",﻿"이미지 업로드"
"Please assign this theme to a store view and upload your store logo.",﻿"이 테마를 뷰의 지정 상점 로고를 업로드 하십시오"
"Upload a Logo",﻿"로고 업로드"
"Close Panel",﻿"화면을 닫으려면"
"Page Text",﻿"페이지 텍스트"
"Variable Text",﻿"바리 어 블루 텍스트"
"Alternative Text",﻿"대체 텍스트"
"Toggle Page Text",﻿"전환 페이지 텍스트"
"(Hold down button for options)",﻿"(선택 버튼을 누르십시오)"
"Edit Text",﻿"텍스트 편집"
"Close Message",﻿"메시지 닫기"
"Update the CSS code to overwrite the default styles or upload your own CSS file.",﻿"기본 스타일을 다시에 CSS 코드를 업로드 하거나 자신의 CSS 파일을 업로드 하십시오"
"Upload File",﻿"파일 업로드"
"Upload Custom CSS",﻿"사용자 지정 CSS를 업로드"
"Download File",﻿"다운로드 파일"
"Image Assets",﻿"이미지 자산"
"Font Assets",﻿"글꼴 셋"
"Add Files",﻿"파일 추가"
"Drag and drop files to reorder them.",﻿"다시 주문 하기 위하여는 파일을 드래그 앤 드롭 하십시오"
"We found no javascript files.",﻿"Javascript 파일을 찾을 수 없습니다"
"Files Uploaded",﻿"파일이 업로드 되었습니다"
"Insert file",﻿"파일 삽입"
"Delete file",﻿"파일을 삭제"
"Edit Theme Name",﻿"테마 이름 편집"
"Assigned to: ",﻿"할당 대상:"
"There are no customized themes.",﻿"사용자 지정 된 테마가 없습니다."
"Choose the store views you want to update.",﻿"업데이트 하려는 상점 보기를 선택 하십시오"
"Edit Theme",﻿"테마를 편집"
"When you edit a theme, we save it as a unique version in ""My Customizations.""","테마를 편집 할 때 """"My Customizations""""에서 유일한 버전으로 저장합니다"
"We can't load the theme right now.",﻿"현재 테마를 로드할 수 없습니다."
"No stores were reassigned.",﻿"다시 할당 된 상점는 없습니다."
"Assign theme to your live store-view:",﻿"프로덕션 상점 테마를 지정 하십시오:"
"Default title",﻿"기본 제목"
"The URL to assign stores is not defined.",﻿"상점에 지정 하는 URL은 정의 되어 있지 않습니다."
"We can't revert right now.",﻿"현재 실행 취소할 수 없습니다."
"Error: unknown error.",﻿"오류: 알 수 없는 오류"
"We can't save right now.",﻿"현재 저장할 수 없습니다."
Folder,﻿"폴더"
"Are you sure you want to delete the folder named",﻿"명명 된 폴더를 정말로 삭제 하 시겠습니까?"
"This allows breaking total order weight into smaller pieces if it exceeds %1 %2 to ensure accurate calculation of shipping charges.",﻿"이것은 당신이 정확한 운송료를 계산 하기 위해 %1 %2을 초과 하는 경우 총 주문 무게를 정밀 하 게 분할 하는 것을 허용 합니다"
"Wrong Content Type",﻿"잘못 된 콘텐츠 형식"
Inches,﻿"Inches"
Centimeters,﻿"센티미터"
inch,﻿"인치"
Depth,﻿"깊이"
Specific,﻿"특별 납품"
"Easy shop",﻿"간편한 게"
Sprintline,﻿"프린트 라인"
Secureline,﻿"안전 선"
"Express easy",﻿"익스프레스 간편한"
Europack,﻿"유로 팩"
"Break bulk express",﻿"대량 상품을 조각"
"Medical express",﻿"메디컬 익스프레스"
"Express worldwide",﻿"익스프레스 월드와이드"
"Express 9:00",﻿"익스프레스 9:00"
"Express 10:30",﻿"익스프레스 10:30"
"Domestic economy select",﻿"국내 이코노미 선택"
"Economy select",﻿"이코노미 선택"
"Break bulk economy",﻿"대량 이코노미를 조각"
"Domestic express",﻿"국내 일반 석"
Others,﻿"기타"
"Globalmail business",﻿"글로벌 메일 비즈니스"
"Same day",﻿"같은날에"
"Express 12:00",﻿"익스프레스 12:00"
"Express envelope",﻿"익스프레스 봉투"
"Customer services",﻿"고객 서비스"
Jetline,﻿"제트 선"
"Freight worldwide",﻿"Freight worldwide"
"Jumbo box",﻿"점보 상자"
"DHL service is not available at %s date",﻿"DHL 서비스가 %s 날짜는 사용할 수 없습니다."
"The response is in wrong format.",﻿"응답이 잘못 된 형식입니다."
"Error #%1 : %2",﻿"오류 #%1 : %2"
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).",﻿"DHL에서 %1 메서드를 현금화 비율 %2 (기본 통화)가 없기 때문에 생략 했습니다."
"Zero shipping charge for '%1'",﻿" '%1'에 대한  Zero 배송비"
DHL,﻿"DHL"
"Cannot identify measure unit for %1",﻿"%1의 단위를 알 수"
"Cannot identify weight unit for %1",﻿"%1의 무게 단위를 알 수"
"There is no items in this order",﻿"이 주문에 상품이 없습니다"
"Please, specify origin country","국가를 지정하십시오"
"Non Documents",﻿"비 문서"
"Height, width and length should be equal or greater than %1","높이, 폭, 길이는 %1과 같거나 커야합니다"
"Wrong Region",﻿"잘못 된 지역"
"Response is in the wrong format",﻿"대답의 형식이 잘못 되었습니다."
"Unable to retrieve shipping label",﻿"발송 라벨 제거 수 없습니다"
"Non documents",﻿"비 문서"
"Access ID",﻿"액세스 ID"
"Content Type",﻿"콘텐츠 유형"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.",﻿"""Per Order""전체 주문 단일 수수료를 허용 합니다. ""Per Package""는 각 패키지에 대해 별도의 수수료를 부여 합니다 "
"Divide Order Weight",﻿"주문 체중 사단"
"This allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.",﻿"만약 주문 70kg 이상인 경우에 우 송료를 정확 하 게 산출 하는 것을 담보 하기 위하여 전체 주문의 무게를 작은 조각 하는 것을 허용 합니다"
"Resource with ID ""%1"" not found.",﻿"ID ""%1""리소스를 찾을 수 없습니다. "
"Generic service exception %1",﻿"제네릭 서비스 예외 %1"
"Consumer is not authorized to access %1",﻿"고객은 %1에 액세스할 수 있는 권한이 없습니다."
"Service not found",﻿"서비스를 찾을 수 없습니다"
"Fixture base directory '%1' does not exist.",﻿"픽스처베이스 디렉토리 '%1'은 존재 하지 않습니다."
"Directory separator ""\" is prohibited in fixture declaration.",﻿"구분 기호 ""\" 는 고정 선언 내에서는 금지 되어 있습니다. "
Drop-down,﻿"드롭다운"
"Invalid ""@magentoAppArea"" annotation, can be ""%1"" only.","부정한 ""@magentoAppArea"" 주석은 ""%1"" 뿐입니다."
"Invalid ""@magentoAppIsolation"" annotation, can be ""enabled"" or ""disabled"" only.","부정한 ""@magentoAppIsolation"" 주석은 ""enabled"" 또는 ""disabled"" 뿐입니다."
"Invalid ""@magentoDbIsolation"" annotation, can be ""enabled"" or ""disabled"" only.","부정한 ""@magentoDbIsolation"" 주석은 ""enabled"" 또는 ""disabled"" 뿐입니다."
"'%1' is not a directory.",﻿"'%1' 디렉토리에 없습니다."
"Setting '%1' specifies the non-existing file '%2'.",﻿"설정 '%1'은 존재 하지 않는 파일  '%2'입니다."
"Sequence with this metadata already exists",﻿"이 메타 데이터에서 배열은 이미 존재 합니다"
"Instance of the ""Magento\TestFramework\EventManager"" is expected.",﻿"""Magento\TestFramework\EventManager""의 인스턴스가 기대됩니다. "
"Instance of the event manager is required.",﻿"이벤트 관리자 인스턴스가 필요 합니다."
"Helper instance cannot be redefined.",﻿"도우미 인스턴스는 재정의할 수 없습니다."
"Helper instance is not defined yet.",﻿"도우미 인스턴스는 아직 정의 되지 않았습니다."
"'%1' is not readable file.",﻿"'%1' 파일을 읽을 수 없습니다."
"Setting 'non_existing' specifies the non-existing file ''.",﻿"' Non_existing ' 설정 하는 것은 존재 하지 않는 파일을 지정 합니다."
"Setting 'item_label' specifies the non-existing file '%1Item Label.dist'.",﻿"' Item_label ' 설정 하는 것은 존재 하지 않는 파일 '%1Item Label.dist'를 지정 합니다."
"Synthetic model update failure.",﻿"합성 모델 업데이트 실패"
"command not found",﻿"명령을 찾을 수 없습니다"
"Fixture String",﻿"고정 문자열"
"Message with ""%1"" and ""%2""",﻿""%1"" 과 ""%2""를 가진 메시지"
"Init action problem.",﻿"초기 동작 문제."
"Construction problem.",﻿"구축 문제."
"Prepare layout problem.","레이아웃 준비 문제."
"Customer My Account (All Pages)",﻿"고객 내 계정 (모든 페이지)"
"All Empty Layout Pages","모든 빈 레이아웃 페이지"
entity_label_1,﻿"entity_label_1"
entity_label_2,﻿"entity_label_2"
"simple text",﻿"단순 텍스트"
"simple text with 1 string literal placeholder %1",﻿"단순 텍스트 문자열 자리 표시자 %1"
"simple text with 1 variable placeholder %1",﻿"단순 텍스트와 단일 변수 자리 표시자 %1"
"simple text with multiple placeholders %1 %2",﻿"단순 텍스트와 여러 자리 표시자 %1 %2"
"first part second part",﻿"우선 파트 보조 파트"
"first part second part third part",﻿"우선 파트 세컨드 퍼 서드 파트"
"first part second part with one string literal placeholder %1",﻿"우선 파트 보조 파트와 하나의 문자열 자리 표시자 %1"
"first part of concat second part with one variable placeholder %1",﻿"연결 된 두 번째 파트의 첫 번째 파트로 1 개의 매개 변수 표시자 %1"
"first part of concat second part with two placeholders %1, %2","연결 한 두 번째 파트의 첫 번째 파트 2 개의 자리 표시 자  %1, %2"
"first part of concat second part third part with one placeholder %1",﻿"연결 된 두 번째 파트의 첫 번째 파트 서드 파트와 한 개의 자리 표시자 %1"
"first part of concat second part third part with two placeholders %1, %2","연결 한 두 번째 파트의 첫 번째 파트 서드 파트와 2 개의 자리 표시 자 %1, %2"
"string with escaped 'single quotes'",﻿" ' 작은 따옴표 ' 이스케이프 된 문자열"
"string with placeholder in escaped single quotes '%1'",﻿"작은 따옴표 '%1' 이스케이프 처리 된 자리 표시자 텍스트"
"string with ""double quotes""",﻿" ""큰 따옴표"""
"string with placeholder in double quotes","더블쿼테이션을 가지는 문자열 자리 표시자"
"string with 'single quotes'",﻿"문자열 '작은 따옴표'"
"string with placeholder in single quotes '%1'",﻿"문자열을 작은 따옴표 '%1'의 자리"
"string with escaped ""double quotes""",﻿"문자열과 이스케이프 된 ""큰 따옴표"""
"string with placeholder in escaped double quotes ""%1""",﻿"문자열과 이스케이프 된""%1"" 자리 표시자 "
Helper,﻿"도우미"
Model,﻿"모델"
"Module template",﻿"모듈 템플릿"
"Theme template",﻿"테마 템플릿"
"Model unused",﻿"사용 되지 않는 모델"
"Theme template unused",﻿"사용 하지 않는 테마 템플릿"
"Unlocked %1 user(s).",﻿"%1 사용자를 해제."
bla,﻿"bla"
"Invalid secure URL.",﻿"잘못 된 보안 URL."
"Invalid path: %1",﻿"잘못 된 경로: %1"
phrase,﻿"문구"
Exception,﻿"예외"
"Not Valid!",﻿"잘못!"
"When passing in a field array there must be a matching condition array.",﻿"필드 배열을 패스 할 때, 일치 하는 조건 배열 해야 합니다."
"When passing an array of fields there must be at least one field in the array.",﻿"필드의 배열을 패스 할 때, 배열에는 적어도 하나의 필드가 있어야 합니다."
"The image content must be valid base64 encoded data.",﻿"이미지 컨텐츠는 유효한 기본 64 인코딩 데이터 이어야 합니다 없습니다."
"The image MIME type is not valid or not supported.",﻿"이미지 MIME 유형이 올바르지 않거나 지원 되지 않습니다."
"Provided image name contains forbidden characters.",﻿"제공 된 이미지 이름에 줄 바꿈 문자가 포함 되어 있습니다."
"The sort order has to be specified as a string, got %1.","The sort order has to be specified as a string, got %1."
"The sort order has to be specified as %1 for ascending order or %2 for descending order.",﻿"정렬 순서는 오름차순 %1 또는 %2를 내림차순으로 지정 해야 합니다."
"File not found",﻿"파일을 찾을 수 없습니다"
"Area code is already set",﻿"우편 번호는 이미 설정 되어 있습니다"
"Area code is not set",﻿"우편 번호는 설정 되어 있지 않습니다."
Test,﻿"테스트"
"File does not exist",﻿"파일이 존재 하지 않습니다."
"Can't get contents from: %1",﻿"콘텐츠를 검색할 수 없습니다: %1"
"Permission denied to write to %1",﻿"%1에 대 한 쓰기 권한이 없습니다."
"Can't open file %1 for writing. Permission denied.",﻿"%1에 쓰기 위해 파일을 열 수 없습니다. 권한이 없습니다."
"Permission denied to read file %1",﻿"%1 로드 권한이 없습니다."
"Failed to open file %1",﻿"%1 파일을 열 수 없습니다."
"Failed to write data to %1",﻿"%1 데이터 wp 쓸 수 없습니다."
"Failed to read data from %1",﻿"%1에서 데이터를 로드할 수 없습니다."
"File not opened",﻿"파일이 열려 있지 않습니다."
"Can't scan dir: %1",﻿"다음 디렉터리를 검색할 수 없습니다:%1"
"Failed to create directory %1",﻿"디렉터리 생성 수 없습니다 %1"
"Bad root directory",﻿"잘못 된 루트 디렉터리"
"Current implementation not supported this type (%1) of backup.",﻿"현재 구현에서는이 유형 (%1)의 백업을 지원 하지 않습니다. "
"Not enough permissions to read files for backup",﻿"백업을 위해 파일을 읽을 권한이 없습니다."
"Failed to create backup",﻿"백업에 실패 했습니다."
"Warning: necessary space for backup is ' . . 'MB, but your free disc space is ' . . 'MB.","경고 : 백업에 필요한 공간은 '..'MB입니다. 하지만 현재의 여유 공간 '.'MB입니다."
"Cant create backups directory",﻿"백업 디렉터리를 만들 수 없습니다."
"Backups directory is not writeable",﻿"백업 디렉터리에 쓸 수 없습니다"
"Unable to make rollback because not all files are writable",﻿"전체 파일을 쓸 수 없기 때문에 롤백할 수 없습니다."
dummy,﻿"더미"
"Unable to validate ftp account",﻿"ftp 계정을 인증할 수 없습니다."
"Failed to validate ftp account",﻿"ftp 계정 인증 실패"
"Failed to upload file %1 to ftp",﻿"%1 파일을 ftp에 업로드 실패"
"Invalid value for the node <slab_size>. Expected to be positive integer.",﻿"노드에 대 한 잘못 된 값 < slab_size >. 양의 정수 여야 합니다."
"Source class ""%1"" for ""%2"" generation does not exist.",﻿"""%2""  세대에 대 한 소스 클래스는 존재 하지 않습니다. "
"File already exists",﻿"파일이 이미 존재 합니다"
"Incorrect argument sequence in class %1 in %2%3Required: $%4%5Actual  : $%6%7",﻿"클래스 %1 in %2%3Required: $%4%5Actual  : $%6%7 잘못된 인수"
"Invalid constructor argument(s) in %1",﻿"잘못 된 생성자 인수를 %1에 있습니다"
"Missed required argument %1 in parent::__construct call. File: %2",﻿"Parent:: __construct call에 필수 인수가 누락 되었습니다. 파일: %2"
